model,test_accuracy,test_balanced_accuracy,test_precision_macro,test_recall_macro,test_f1_macro,threshold,uncertain_rate
knn,0.875,0.8695652173913043,0.9032258064516129,0.8695652173913043,0.8714285714285714,0.6,0.12727272727272726
linear_svm,0.23636363636363636,0.23677248677248675,0.23607427055702918,0.23677248677248675,0.2361111111111111,,
svm_rbf,0.8260869565217391,0.8276515151515151,0.8276515151515151,0.8276515151515151,0.8260869565217391,0.6,0.16363636363636364
tree,0.9272727272727272,0.9279100529100529,0.9290450928381964,0.9279100529100529,0.9272486772486772,0.6,0.0
