timestamp_ms,ax_g,ay_g,az_g
1008,0.105,0.275,0.943
1018,0.089,0.26,0.95
1028,0.075,0.257,0.953
1038,0.084,0.266,0.948
1048,0.11,0.284,0.953
1058,0.144,0.308,0.958
1068,0.157,0.326,0.949
1078,0.137,0.314,0.958
1088,0.101,0.286,0.945
1098,0.058,0.257,0.939
1108,0.041,0.24,0.949
1118,0.059,0.237,0.952
1128,0.07,0.236,0.958
1138,0.119,0.275,0.962
1148,0.144,0.312,0.973
1158,0.136,0.342,0.965
1168,0.119,0.341,0.959
1178,0.073,0.304,0.958
1188,0.064,0.277,0.947
1198,0.055,0.25,0.951
1208,0.063,0.244,0.947
1218,0.079,0.254,0.951
1228,0.108,0.28,0.967
1238,0.096,0.29,0.962
1248,0.131,0.292,1.009
1258,0.072,0.277,0.919
1268,0.091,0.222,0.947
1278,0.083,0.202,0.951
1288,0.098,0.227,0.963
1298,0.118,0.273,0.966
1308,0.099,0.276,0.974
1318,0.051,0.265,0.974
1328,0.061,0.287,0.965
1338,0.072,0.297,0.96
1348,0.082,0.298,0.953
1358,0.082,0.291,0.95
1368,0.076,0.29,0.952
1378,0.066,0.29,0.951
1388,0.101,0.313,0.941
1398,0.12,0.32,0.939
1408,0.135,0.314,0.928
1418,0.123,0.29,0.915
1428,0.123,0.29,0.915
1438,0.055,0.251,0.931
1448,0.018,0.23,0.95
1458,-0.059,0.187,0.971
1468,-0.068,0.189,0.961
1478,-0.02,0.223,0.964
1488,0.109,0.308,0.916
1498,0.225,0.344,0.951
1508,0.241,0.376,0.901
1518,0.263,0.434,0.888
1528,0.245,0.478,0.886
1538,0.136,0.44,0.916
1548,-0.008,0.351,0.937
1558,-0.076,0.284,0.942
1568,-0.061,0.241,0.944
1578,-0.009,0.222,0.963
1588,0.041,0.225,0.979
1598,0.083,0.246,0.975
1608,0.13,0.292,0.968
1618,0.196,0.315,0.964
1628,0.17,0.281,0.93
1638,0.097,0.273,0.926
1648,0.005,0.293,0.935
1658,0.084,0.321,1.014
1668,0.074,0.224,0.936
1678,0.081,0.201,0.934
1688,0.064,0.251,0.92
1698,0.054,0.364,0.899
1708,0.066,0.45,0.901
1718,0.093,0.48,0.908
1728,0.119,0.461,0.91
1738,0.133,0.419,0.922
1748,0.145,0.388,0.934
1758,0.148,0.373,0.94
1768,0.142,0.374,0.94
1778,0.131,0.377,0.929
1788,0.129,0.383,0.932
1798,0.135,0.377,0.936
1808,0.149,0.364,0.95
1818,0.173,0.346,0.96
1828,0.184,0.329,0.977
1838,0.185,0.317,0.99
1848,0.181,0.302,0.993
1858,0.166,0.282,0.991
1868,0.151,0.272,0.984
1878,0.142,0.266,0.982
1888,0.139,0.263,0.984
1898,0.132,0.271,0.992
1908,0.127,0.295,0.997
1918,0.133,0.346,1.007
1928,0.149,0.414,1.011
1938,0.18,0.485,1.02
1948,0.209,0.558,1.028
1958,0.235,0.623,1.035
1968,0.262,0.684,1.037
1978,0.272,0.737,1.018
1988,0.266,0.796,0.984
1998,0.242,0.844,0.956
2008,0.2,0.871,0.94
2018,0.146,0.869,0.921
2028,0.085,0.838,0.907
2038,0.044,0.789,0.9
2048,0.019,0.731,0.895
2058,0.01,0.692,0.882
2068,0.005,0.67,0.87
2078,0.003,0.653,0.862
2088,0.0,0.611,0.849
2098,0.002,0.558,0.837
2108,0.016,0.509,0.826
2118,0.035,0.472,0.812
2128,0.061,0.443,0.795
2138,0.133,0.415,0.77
2148,0.216,0.369,0.788
2158,0.24,0.364,0.823
2168,0.159,0.366,0.847
2178,0.011,0.35,0.847
2188,-0.137,0.336,0.844
2198,-0.225,0.373,0.825
2208,-0.238,0.421,0.823
2218,-0.188,0.47,0.817
2228,-0.111,0.498,0.801
2238,-0.043,0.507,0.777
2248,-0.004,0.512,0.75
2258,0.0,0.508,0.743
2268,-0.018,0.494,0.738
2278,-0.056,0.472,0.746
2288,-0.094,0.448,0.753
2298,-0.125,0.429,0.754
2308,-0.15,0.436,0.765
2318,-0.157,0.455,0.783
2328,-0.155,0.473,0.801
2338,-0.15,0.481,0.806
2348,-0.148,0.471,0.816
2358,-0.145,0.454,0.833
2368,-0.143,0.425,0.838
2378,-0.155,0.401,0.846
2388,-0.165,0.378,0.846
2398,-0.179,0.361,0.839
2408,-0.179,0.361,0.839
2418,-0.183,0.353,0.839
2428,-0.19,0.345,0.85
2438,-0.2,0.342,0.837
2448,-0.221,0.336,0.848
2458,-0.229,0.344,0.826
2468,-0.25,0.336,0.822
2478,-0.273,0.336,0.836
2488,-0.287,0.321,0.836
2498,-0.294,0.305,0.845
2509,-0.296,0.296,0.874
2519,-0.292,0.291,0.874
2529,-0.307,0.286,0.906
2539,-0.324,0.268,0.92
2549,-0.341,0.253,0.927
2559,-0.358,0.248,0.949
2569,-0.384,0.243,0.939
2579,-0.408,0.243,0.923
2589,-0.422,0.261,0.928
2599,-0.425,0.281,0.927
2609,-0.424,0.313,0.917
2619,-0.415,0.351,0.911
2629,-0.406,0.386,0.908
