timestamp_ms,ax_g,ay_g,az_g
3072,0.068,0.283,0.875
3082,0.064,0.298,0.867
3092,0.05,0.306,0.855
3102,0.049,0.312,0.851
3112,0.045,0.33,0.831
3122,0.04,0.344,0.808
3132,0.033,0.353,0.785
3142,0.023,0.351,0.763
3152,0.012,0.331,0.741
3162,0.003,0.295,0.716
3172,-0.01,0.259,0.701
3182,-0.024,0.219,0.676
3192,-0.036,0.178,0.65
3202,-0.054,0.13,0.616
3212,-0.064,0.092,0.585
3222,-0.062,0.064,0.565
3232,-0.036,0.079,0.55
3242,-0.003,0.123,0.519
3252,0.03,0.15,0.476
3262,0.072,0.162,0.428
3272,0.113,0.164,0.384
3282,0.148,0.155,0.33
3292,0.175,0.163,0.266
3302,0.191,0.154,0.24
3312,0.209,0.149,0.232
3322,0.232,0.137,0.25
3332,0.262,0.127,0.294
3342,0.316,0.133,0.344
3352,0.403,0.19,0.373
3362,0.505,0.267,0.405
3372,0.621,0.355,0.438
3382,0.729,0.423,0.434
3392,0.818,0.466,0.41
3402,0.899,0.496,0.376
3412,0.953,0.54,0.355
3422,0.984,0.597,0.377
3432,0.991,0.671,0.439
3442,0.959,0.745,0.505
3452,0.872,0.811,0.553
3462,0.744,0.855,0.568
3472,0.639,0.877,0.562
3482,0.595,0.878,0.571
3492,0.595,0.878,0.571
3502,0.61,0.855,0.592
3512,0.668,0.807,0.647
3522,0.735,0.746,0.662
3532,0.796,0.668,0.661
3542,0.819,0.593,0.66
3552,0.841,0.529,0.658
3562,0.863,0.481,0.666
3572,0.881,0.465,0.664
3582,0.916,0.458,0.64
3592,0.954,0.447,0.61
3602,0.986,0.43,0.581
3612,1.009,0.407,0.548
3622,1.031,0.384,0.514
3632,1.054,0.37,0.477
3642,1.074,0.369,0.444
3652,1.108,0.379,0.409
3662,1.145,0.405,0.382
3672,1.188,0.44,0.367
3682,1.243,0.474,0.357
3692,1.289,0.516,0.347
3702,1.333,0.553,0.351
3712,1.373,0.602,0.359
3722,1.385,0.653,0.36
3732,1.369,0.702,0.358
3742,1.329,0.743,0.36
3752,1.286,0.787,0.383
3762,1.232,0.823,0.414
3772,1.178,0.835,0.447
3782,1.145,0.827,0.482
3792,1.133,0.807,0.506
3802,1.136,0.784,0.542
3812,1.151,0.759,0.594
3822,1.151,0.729,0.657
3832,1.141,0.693,0.738
3842,1.123,0.652,0.815
3852,1.093,0.603,0.867
3862,1.067,0.56,0.893
3872,1.064,0.534,0.912
3882,1.087,0.523,0.929
3892,1.135,0.522,0.955
3902,1.181,0.525,0.987
3912,1.204,0.522,1.005
3922,1.193,0.512,1.005
3932,1.167,0.509,0.968
3942,1.14,0.525,0.917
3952,1.12,0.558,0.878
3962,1.114,0.619,0.863
3972,1.133,0.691,0.876
3982,1.168,0.751,0.87
3992,1.204,0.798,0.849
4002,1.232,0.826,0.803
4012,1.249,0.839,0.753
4022,1.248,0.836,0.724
4032,1.255,0.804,0.715
4042,1.281,0.764,0.724
4052,1.329,0.713,0.737
4062,1.387,0.664,0.743
4072,1.456,0.622,0.742
4082,1.526,0.573,0.734
4092,1.584,0.518,0.736
4102,1.615,0.462,0.758
4112,1.609,0.404,0.779
4122,1.568,0.344,0.813
4132,1.506,0.308,0.845
4142,1.45,0.301,0.858
4152,1.409,0.322,0.857
4162,1.394,0.363,0.877
4172,1.379,0.421,0.892
4182,1.37,0.485,0.888
4192,1.373,0.534,0.872
4202,1.378,0.56,0.845
4212,1.389,0.574,0.838
4222,1.408,0.56,0.849
4232,1.437,0.524,0.857
4242,1.463,0.463,0.87
4252,1.463,0.388,0.884
4262,1.436,0.311,0.894
4272,1.401,0.223,0.929
4282,1.353,0.134,0.975
4292,1.274,0.069,0.944
4302,1.185,0.059,0.891
4312,1.135,0.107,0.891
4322,1.124,0.183,0.845
4332,1.148,0.289,0.83
4342,1.175,0.371,0.853
4352,1.18,0.408,0.877
4362,1.155,0.385,0.901
4372,1.116,0.319,0.911
4382,1.081,0.228,0.887
4392,1.054,0.142,0.849
4402,1.02,0.072,0.818
4412,0.996,0.018,0.793
4422,0.976,-0.011,0.768
4432,0.941,-0.034,0.743
4442,0.941,-0.034,0.743
4452,0.899,-0.059,0.722
4462,0.85,-0.081,0.703
4472,0.788,-0.1,0.706
4482,0.725,-0.113,0.677
4492,0.662,-0.128,0.646
4502,0.597,-0.141,0.581
4512,0.536,-0.147,0.532
4522,0.471,-0.145,0.483
4532,0.415,-0.139,0.465
4542,0.358,-0.138,0.445
4552,0.297,-0.124,0.412
4562,0.227,-0.109,0.374
4572,0.157,-0.096,0.334
4582,0.09,-0.095,0.302
4592,0.034,-0.097,0.29
4602,-0.023,-0.105,0.261
4612,-0.082,-0.114,0.233
4622,-0.145,-0.119,0.213
4632,-0.199,-0.112,0.19
4642,-0.248,-0.095,0.171
4652,-0.295,-0.076,0.149
4662,-0.354,-0.066,0.124
4672,-0.425,-0.056,0.092
4682,-0.501,-0.04,0.035
4692,-0.565,-0.023,-0.042
4702,-0.591,-0.021,-0.122
4712,-0.59,-0.077,-0.202
4722,-0.57,-0.161,-0.238
4732,-0.542,-0.265,-0.248
4742,-0.511,-0.335,-0.25
4752,-0.475,-0.368,-0.26
4762,-0.459,-0.363,-0.274
4772,-0.483,-0.304,-0.31
4782,-0.559,-0.195,-0.349
4792,-0.661,-0.087,-0.351
4802,-0.736,-0.021,-0.292
4812,-0.776,-0.016,-0.207
4822,-0.771,-0.04,-0.115
4832,-0.712,-0.046,-0.028
4842,-0.615,-0.017,0.035
4852,-0.509,0.065,0.061
4862,-0.429,0.157,0.061
4872,-0.422,0.207,0.019
4882,-0.512,0.198,-0.038
4892,-0.646,0.159,-0.069
4902,-0.755,0.139,-0.061
4912,-0.804,0.156,-0.058
4922,-0.791,0.184,-0.087
4932,-0.752,0.207,-0.129
4942,-0.723,0.22,-0.178
4952,-0.719,0.218,-0.236
4962,-0.759,0.204,-0.285
4972,-0.817,0.209,-0.306
4982,-0.876,0.257,-0.319
4992,-0.898,0.343,-0.31
5002,-0.875,0.427,-0.299
5012,-0.812,0.493,-0.295
5022,-0.744,0.521,-0.286
5032,-0.705,0.53,-0.282
5042,-0.705,0.529,-0.279
5052,-0.747,0.52,-0.262
5062,-0.78,0.509,-0.233
5072,-0.764,0.504,-0.193
5082,-0.705,0.504,-0.186
5092,-0.624,0.523,-0.168
5102,-0.558,0.578,-0.143
5112,-0.495,0.633,-0.136
5122,-0.449,0.679,-0.134
5132,-0.414,0.71,-0.155
5142,-0.367,0.732,-0.156
5152,-0.294,0.773,-0.124
5162,-0.211,0.854,-0.104
5172,-0.174,0.953,-0.151
5182,-0.205,1.069,-0.211
