feature,importance
y_dom_freq,0.18600732921601512
x_zcr,0.08954402768742685
y_spec_centroid,0.05444842483761235
y_zcr,0.027872055001658267
z_zcr,0.02308942495766718
t_end_ms,0.021875712217661148
t_start_ms,0.020637848818782938
mag_kurt,0.020245202384692206
z_skew,0.01907860900407329
x_mean,0.01790538968242236
x_skew,0.017343804703822813
y_dom_power,0.017120871243520436
mag_std,0.017092915511494035
z_mean,0.016937284608797384
y_kurt,0.016847332224227112
mag_mean,0.016745247896486844
mag_p2p,0.016706372712742525
mag_var,0.016620046881587868
y_spec_entropy,0.016087413757754715
z_p2p,0.015732875747092482
