Model,Accuracy,Precision,Recall,F1,Balanced_Accuracy,Threshold,Accepted (%)
Decision Tree,0.9090909090909091,0.9133333333333333,0.91005291005291,0.9089705395564383,0.91005291005291,0.0,100.0
RBF SVM,0.8363636363636363,0.8400000000000001,0.8373015873015872,0.8361469712015889,0.8373015873015872,0.0,100.0
KNN,0.8181818181818182,0.8486842105263157,0.8154761904761905,0.8131793478260869,0.8154761904761905,0.0,100.0
Linear SVM,0.7090909090909091,0.7133152173913043,0.7076719576719577,0.7066666666666667,0.7076719576719577,0.0,100.0
