Model,Accuracy,Precision,Recall,F1,Balanced_Accuracy,Threshold,Accepted (%)
Decision Tree,0.9090909090909091,0.9133333333333333,0.91005291005291,0.9089705395564383,0.91005291005291,0.6,100.0
RBF SVM,0.8936170212765957,0.8992673992673992,0.894927536231884,0.8934240362811792,0.894927536231884,0.6,85.45454545454545
KNN,0.875,0.9032258064516129,0.8695652173913043,0.8714285714285714,0.8695652173913043,0.6,87.27272727272727
Linear SVM,0.8695652173913043,0.8730769230769231,0.8674242424242424,0.8685714285714285,0.8674242424242424,0.6,41.81818181818181
