timestamp_ms,ax_g,ay_g,az_g
79897,-0.522,-0.635,0.095
79907,-0.512,-0.55,0.07
79917,-0.544,-0.491,0.063
79927,-0.646,-0.465,0.096
79937,-0.806,-0.459,0.184
79947,-0.94,-0.48,0.326
79957,-1.008,-0.505,0.403
79967,-1.042,-0.48,0.39
79977,-1.037,-0.419,0.312
79987,-1.022,-0.438,0.175
79997,-1.024,-0.589,0.038
80007,-1.081,-0.834,-0.029
80017,-1.166,-1.085,-0.007
80027,-1.241,-1.21,0.027
80037,-1.264,-1.157,-0.013
80047,-1.24,-0.96,-0.113
80057,-1.195,-0.707,-0.197
80067,-1.151,-0.45,-0.218
80077,-1.122,-0.244,-0.161
80087,-1.107,-0.137,-0.073
80097,-1.134,-0.176,-0.055
80107,-1.186,-0.348,-0.088
80117,-1.25,-0.576,-0.127
80127,-1.285,-0.751,-0.146
80137,-1.277,-0.784,-0.145
80147,-1.244,-0.687,-0.16
80157,-1.216,-0.512,-0.199
80167,-1.224,-0.337,-0.205
80177,-1.274,-0.217,-0.14
80187,-1.342,-0.187,-0.051
80197,-1.384,-0.244,-0.033
80207,-1.401,-0.325,-0.109
80217,-1.385,-0.359,-0.219
80227,-1.364,-0.306,-0.282
80237,-1.362,-0.182,-0.262
80247,-1.38,-0.067,-0.157
80257,-1.404,-0.009,-0.027
80267,-1.408,-0.012,0.038
80277,-1.396,-0.05,-0.022
80287,-1.382,-0.088,-0.155
80297,-1.374,-0.109,-0.253
80307,-1.368,-0.082,-0.262
80317,-1.374,-0.023,-0.198
80327,-1.379,0.028,-0.093
80337,-1.39,0.032,0.008
80347,-1.406,-0.023,0.091
80357,-1.397,-0.023,0.091
80367,-1.394,-0.109,0.1
80377,-1.363,-0.198,0.073
80387,-1.322,-0.232,0.018
80397,-1.287,-0.205,-0.022
80407,-1.27,-0.172,0.027
80417,-1.265,-0.147,0.121
80427,-1.264,-0.121,0.247
80437,-1.245,-0.108,0.336
80447,-1.21,-0.107,0.37
80457,-1.173,-0.11,0.37
80467,-1.132,-0.12,0.341
80477,-1.087,-0.121,0.327
80487,-1.044,-0.086,0.338
80497,-1.0,-0.032,0.375
80507,-0.959,0.015,0.444
80517,-0.925,0.025,0.528
80527,-0.903,0.005,0.625
80537,-0.88,-0.035,0.685
80547,-0.845,-0.075,0.695
80557,-0.777,-0.086,0.669
80567,-0.68,-0.06,0.632
80577,-0.589,-0.027,0.609
80587,-0.485,0.012,0.59
80597,-0.437,-0.004,0.618
80607,-0.436,-0.047,0.642
80617,-0.449,-0.069,0.619
80627,-0.442,-0.067,0.584
80637,-0.426,-0.066,0.565
80647,-0.392,-0.062,0.54
80657,-0.352,-0.058,0.52
80667,-0.326,-0.064,0.526
80677,-0.341,-0.078,0.524
80687,-0.379,-0.092,0.502
80697,-0.42,-0.097,0.476
80707,-0.423,-0.079,0.419
80717,-0.356,-0.026,0.365
80727,-0.266,0.038,0.345
80737,-0.192,0.114,0.367
80747,-0.11,0.16,0.448
80757,-0.041,0.17,0.524
80767,0.017,0.136,0.531
80777,0.051,0.064,0.491
80787,0.06,-0.031,0.464
80797,0.043,-0.127,0.47
80807,0.035,-0.23,0.482
80817,0.046,-0.308,0.531
80827,0.057,-0.339,0.63
80837,0.043,-0.299,0.714
80847,0.042,-0.192,0.595
80857,0.035,-0.053,0.456
80867,0.036,0.076,0.379
80877,0.045,0.159,0.345
80887,0.042,0.183,0.344
80897,0.039,0.151,0.353
80907,0.022,0.084,0.371
80917,0.0,0.018,0.381
80927,-0.033,-0.024,0.355
80937,-0.098,-0.07,0.345
80947,-0.157,-0.097,0.305
80957,-0.179,-0.1,0.262
80967,-0.156,-0.097,0.226
80977,-0.131,-0.112,0.223
80987,-0.14,-0.158,0.236
80997,-0.197,-0.234,0.263
81007,-0.274,-0.306,0.278
81017,-0.332,-0.346,0.27
81027,-0.351,-0.347,0.263
81037,-0.344,-0.313,0.231
81047,-0.358,-0.32,0.218
81057,-0.431,-0.393,0.238
81067,-0.555,-0.507,0.294
81077,-0.736,-0.625,0.381
81087,-0.919,-0.695,0.453
81097,-1.138,-0.719,0.507
81107,-1.242,-0.616,0.494
81117,-1.227,-0.493,0.464
81127,-1.134,-0.369,0.411
81137,-1.069,-0.325,0.424
81147,-1.119,-0.381,0.541
81157,-1.233,-0.422,0.669
81167,-1.334,-0.384,0.77
81177,-1.363,-0.304,0.826
81187,-1.293,-0.217,0.793
81197,-1.148,-0.136,0.655
81207,-1.011,-0.101,0.561
81217,-0.981,-0.173,0.641
81227,-1.055,-0.311,0.817
81237,-1.163,-0.424,0.964
81247,-1.26,-0.508,1.049
81257,-1.317,-0.537,1.048
81267,-1.327,-0.514,0.97
81277,-1.28,-0.425,0.855
81287,-1.28,-0.425,0.855
81297,-1.161,-0.279,0.713
81307,-1.037,-0.101,0.603
81317,-0.959,0.057,0.605
81327,-0.949,0.115,0.773
81337,-1.017,0.054,0.912
81347,-1.106,-0.095,0.957
81357,-1.225,-0.233,0.975
81367,-1.286,-0.387,0.964
81377,-1.289,-0.472,0.898
81387,-1.24,-0.489,0.804
81397,-1.146,-0.429,0.77
81407,-1.053,-0.286,0.788
81417,-0.991,-0.072,0.814
81427,-0.98,0.165,0.789
81437,-0.996,0.381,0.746
