timestamp_ms,ax_g,ay_g,az_g
3130,0.374,0.597,0.729
3140,0.37,0.613,0.737
3150,0.386,0.619,0.739
3160,0.399,0.601,0.744
3170,0.409,0.57,0.749
3180,0.408,0.546,0.751
3190,0.402,0.543,0.745
3200,0.403,0.564,0.753
3210,0.406,0.584,0.755
3220,0.398,0.594,0.747
3230,0.392,0.591,0.747
3240,0.387,0.589,0.758
3250,0.392,0.587,0.759
3260,0.405,0.564,0.752
3270,0.414,0.533,0.753
3280,0.408,0.51,0.752
3290,0.399,0.508,0.752
3300,0.386,0.52,0.752
3310,0.381,0.546,0.748
3320,0.38,0.567,0.739
3330,0.38,0.594,0.732
3340,0.377,0.603,0.739
3350,0.393,0.595,0.753
3360,0.392,0.595,0.753
3370,0.407,0.577,0.756
3380,0.426,0.56,0.762
3390,0.435,0.552,0.778
3400,0.427,0.548,0.762
3410,0.416,0.54,0.764
3420,0.403,0.537,0.77
3430,0.378,0.522,0.757
3440,0.362,0.521,0.752
3450,0.371,0.533,0.755
3460,0.388,0.55,0.748
3470,0.402,0.568,0.742
3480,0.403,0.573,0.753
3490,0.404,0.554,0.754
3500,0.385,0.536,0.758
3510,0.365,0.542,0.76
3520,0.377,0.559,0.763
3530,0.399,0.565,0.763
3540,0.42,0.557,0.764
3550,0.429,0.544,0.756
3560,0.417,0.533,0.761
3570,0.396,0.528,0.76
3580,0.378,0.537,0.766
3590,0.373,0.557,0.766
3600,0.373,0.562,0.773
3610,0.376,0.542,0.786
3620,0.389,0.519,0.799
3630,0.379,0.47,0.8
3640,0.361,0.449,0.787
3650,0.365,0.471,0.784
3660,0.378,0.465,0.791
3670,0.393,0.495,0.78
3680,0.41,0.564,0.77
3690,0.416,0.63,0.759
3700,0.408,0.658,0.744
3710,0.404,0.661,0.739
3720,0.412,0.644,0.742
3730,0.406,0.6,0.742
3740,0.405,0.569,0.746
3750,0.389,0.544,0.741
3760,0.426,0.673,0.731
3770,0.411,0.591,0.748
3780,0.408,0.529,0.753
3790,0.407,0.508,0.758
3800,0.389,0.518,0.754
3810,0.368,0.544,0.755
3820,0.36,0.562,0.753
3830,0.384,0.575,0.75
3840,0.404,0.576,0.742
3850,0.392,0.556,0.738
3860,0.384,0.539,0.737
3870,0.365,0.534,0.736
3880,0.338,0.538,0.754
3890,0.35,0.556,0.759
3900,0.354,0.561,0.765
3910,0.346,0.543,0.774
3920,0.343,0.529,0.768
3930,0.355,0.503,0.783
3940,0.361,0.512,0.773
3950,0.35,0.528,0.773
3960,0.347,0.554,0.764
3970,0.34,0.576,0.765
3980,0.349,0.566,0.764
3990,0.355,0.544,0.761
4000,0.367,0.535,0.765
4010,0.37,0.525,0.78
4020,0.375,0.536,0.793
4030,0.37,0.542,0.79
4040,0.372,0.559,0.78
4050,0.362,0.574,0.767
4060,0.369,0.596,0.751
4070,0.364,0.586,0.761
4080,0.355,0.571,0.758
4090,0.353,0.554,0.772
4100,0.36,0.562,0.778
4110,0.379,0.574,0.786
4120,0.386,0.57,0.793
4130,0.391,0.567,0.795
4140,0.38,0.566,0.78
4150,0.377,0.572,0.767
4160,0.372,0.577,0.762
4170,0.36,0.563,0.753
4180,0.35,0.57,0.755
4190,0.328,0.538,0.758
4200,0.322,0.515,0.756
4210,0.328,0.525,0.756
4220,0.352,0.551,0.766
4230,0.347,0.551,0.768
4240,0.341,0.55,0.762
4250,0.344,0.553,0.761
