timestamp_ms,ax_g,ay_g,az_g
99472,0.055,-0.279,0.778
99482,0.023,-0.296,0.786
99492,-0.008,-0.31,0.77
99502,-0.029,-0.336,0.734
99512,-0.04,-0.359,0.69
99522,-0.044,-0.39,0.681
99532,-0.049,-0.41,0.691
99542,-0.049,-0.412,0.693
99552,-0.052,-0.403,0.686
99562,-0.05,-0.394,0.678
99572,-0.057,-0.401,0.664
99582,-0.071,-0.402,0.655
99592,-0.099,-0.404,0.652
99602,-0.141,-0.413,0.644
99612,-0.185,-0.417,0.611
99622,-0.227,-0.414,0.572
99632,-0.256,-0.419,0.531
99642,-0.274,-0.432,0.476
99652,-0.286,-0.443,0.419
99662,-0.297,-0.455,0.378
99672,-0.296,-0.461,0.333
99682,-0.294,-0.462,0.297
99692,-0.293,-0.434,0.278
99702,-0.301,-0.401,0.254
99712,-0.31,-0.359,0.194
99722,-0.341,-0.324,0.112
99732,-0.373,-0.304,0.03
99742,-0.418,-0.289,-0.054
99752,-0.484,-0.269,-0.11
99762,-0.555,-0.23,-0.131
99772,-0.618,-0.151,-0.136
99782,-0.656,-0.069,-0.155
99792,-0.67,0.034,-0.168
99802,-0.668,0.107,-0.177
99812,-0.666,0.154,-0.197
99822,-0.672,0.173,-0.232
99832,-0.69,0.191,-0.281
99842,-0.716,0.222,-0.323
99852,-0.745,0.246,-0.363
99862,-0.767,0.269,-0.37
99872,-0.748,0.269,-0.367
99882,-0.705,0.244,-0.335
99892,-0.635,0.216,-0.301
99902,-0.591,0.185,-0.26
99912,-0.591,0.185,-0.26
99922,-0.599,0.163,-0.218
99932,-0.651,0.118,-0.194
99942,-0.724,0.045,-0.151
99952,-0.792,-0.043,-0.104
99962,-0.815,-0.106,-0.028
99972,-0.798,-0.099,0.014
99982,-0.792,-0.039,0.045
99992,-0.825,0.051,0.06
100002,-0.881,0.148,0.062
100012,-0.946,0.235,0.048
100022,-0.981,0.318,0.047
100032,-0.978,0.411,0.047
100042,-0.977,0.506,0.032
100052,-0.989,0.58,0.041
100062,-0.977,0.613,0.057
100075,-0.902,0.573,0.112
100085,-0.858,0.564,0.145
100095,-0.82,0.593,0.138
100105,-0.792,0.66,0.125
100115,-0.754,0.733,0.106
